ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10000134,HY190091,03/19/2015 12:35:00 AM,041XX W BELMONT AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,FACTORY/MANUFACTURING BUILDING,true,false,1731,017,31,16,14,1148335,1920959,2015,02/10/2018 03:50:01 PM,41.939055884,-87.730240399,"(41.939055884, -87.730240399)"
10000135,HY190087,03/19/2015 12:30:00 AM,119XX S HALSTED ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA BUS STOP,false,false,0524,005,34,53,03,1173139,1825780,2015,02/10/2018 03:50:01 PM,41.67736022,-87.641893815,"(41.67736022, -87.641893815)"
10000137,HY190051,03/18/2015 10:45:00 PM,064XX S EVANS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,true,false,0312,003,20,42,14,1182328,1862419,2015,02/10/2018 03:50:01 PM,41.777694703,-87.607128049,"(41.777694703, -87.607128049)"
10000138,HY190094,03/19/2015 12:50:00 AM,022XX S PRINCETON AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,false,false,0914,009,25,34,04B,1174557,1889682,2015,02/10/2018 03:50:01 PM,41.852683454,-87.634804012,"(41.852683454, -87.634804012)"
10000139,HY190098,03/19/2015 01:15:00 AM,035XX W CERMAK RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1024,010,22,30,18,1153173,1889153,2015,02/10/2018 03:50:01 PM,41.85168235,-87.713304129,"(41.85168235, -87.713304129)"
10000142,HY190058,03/18/2015 11:35:00 PM,095XX S MERRION AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,0431,004,7,51,02,1192651,1842233,2015,02/10/2018 03:50:01 PM,41.722057171,-87.569940988,"(41.722057171, -87.569940988)"
10000143,HY190100,03/19/2015 02:00:00 AM,066XX S ELLIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0321,003,5,42,08B,1184029,1861269,2015,02/10/2018 03:50:01 PM,41.774499411,-87.600928136,"(41.774499411, -87.600928136)"
10000145,HY190099,03/19/2015 01:19:00 AM,080XX S NORMAL AVE,3760,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,SIDEWALK,true,false,0621,006,21,44,24,1174359,1851606,2015,02/10/2018 03:50:01 PM,41.748203504,-87.636663391,"(41.748203504, -87.636663391)"
10000146,HY190103,03/19/2015 01:50:00 AM,075XX S DOBSON AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0624,006,8,69,03,1184528,1855208,2015,02/10/2018 03:50:01 PM,41.757855777,-87.599288522,"(41.757855777, -87.599288522)"
10000147,HY190102,03/19/2015 01:00:00 AM,078XX S EXCHANGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0421,004,7,43,08B,1197041,1853462,2015,02/10/2018 03:50:01 PM,41.752762491,-87.553488733,"(41.752762491, -87.553488733)"
10000148,HY190122,03/19/2015 02:45:00 AM,001XX S SPRINGFIELD AVE,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,STREET,true,false,1122,011,28,26,18,1150409,1899258,2015,02/10/2018 03:50:01 PM,41.87946597,-87.72318519,"(41.87946597, -87.72318519)"
10000149,HY190082,03/19/2015 12:15:00 AM,019XX N HOYNE AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,1434,014,32,22,08B,1162044,1913082,2015,02/10/2018 03:50:01 PM,41.917165184,-87.680076699,"(41.917165184, -87.680076699)"
10000151,HY190115,03/19/2015 02:26:00 AM,029XX N DAWSON AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,false,false,1412,014,35,21,09,1153483,1919503,2015,02/10/2018 03:50:01 PM,41.934959567,-87.711358856,"(41.934959567, -87.711358856)"
10000153,HY189345,03/18/2015 12:20:00 PM,091XX S UNIVERSITY AVE,0483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",true,false,0413,004,8,47,04B,1185475,1844606,2015,02/10/2018 03:50:01 PM,41.728740563,-87.596150779,"(41.728740563, -87.596150779)"
10000155,HY190125,03/19/2015 02:30:00 AM,008XX E 65TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0312,003,20,42,08B,1183157,1862099,2015,02/10/2018 03:50:01 PM,41.776797342,-87.604098905,"(41.776797342, -87.604098905)"
